OBJECTID,PUDNAME,SPDNAME,TYPE,BASE_ZONE,OVERLAY,PROJ_NUMB,ORDINANCE,ORD_DATE,CHANG_DATE,ZONE,URL,DESCRIPTION,Shape__Area,Shape__Length
6575, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,210033.919921875,3240.35190024197
6576, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,210086.798828125,2082.34505181112
6577, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,210239.10546875,2210.28855103286
6578, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,210340.487304688,2319.17260948937
6579, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,210596.485351563,2737.41221375494
6580, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,210797.229492188,2404.3796476981
6581, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,210984.833007813,1944.6691997986
6582, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,211031.083984375,2282.54021958448
6583, , ,R,R-2A, ,GP 2030,2009-047,10/27/2009,01/01/2010,R-2A,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_208-i&frames=on,Multi-Unit Dwelling Zone,205243.697265625,2224.10452363318
6584, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,211425.430664063,3088.24748126979
6585, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,595745.327148438,5974.6133347436
6586, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,595831.641601563,4594.87845066473
6587, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,597597.3671875,4455.77190404145
6588, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,239416.79296875,2193.884624504
6589, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,239400.520507813,2218.34253560672
6590, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,239780.114257813,2643.40084144722
6591, ,McClellan Heights/Parker Homes,R,R-1A,SPD,M03-090,2007-096,12/04/2007,04/01/2008,R-1A-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,240010.283203125,4811.00916426837
6592, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,240159.440429688,2492.48584033526
6593, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,240469.165039063,2678.71248970728
6594, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,240976.116210938,2402.77677424219
6595, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,241063.473632813,2385.27796725803
6596, ,McClellan Heights/Parker Homes,R,R-1A,SPD,M03-090,2007-096,12/04/2007,04/01/2008,R-1A-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,241079.051757813,3254.45397765293
6597, , ,C,C-2,R,GP 2030,2009-047,10/27/2009,01/01/2010,C-2-R,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-vii&frames=on,General Commercial Zone,180381.107421875,2125.63609014956
